id,weight,X1_1,X1_2,X1_3,X1_4,X1_5,X1_6,X1_7,X1_8,X1_9,X1_10,X1_11,X1_12,X1_13,X1_14,X1_15,X1_16,X1_17,X1_18,X1_19,X1_20,X1_21,X1_22,X1_23,X1_24,X1_25,X1_26,X1_27,X1_28,X1_29,X1_30,X1_31,X1_32,X1_33,X1_34,X1_35,X1_36,X1_37,X1_38,X1_39,X1_40,X1_41,X1_42,X1_43,X1_44,X1_45,X1_46,X1_47,X1_48,X1_49,X1_50,att_thresh
133,1,-0.449436463,0.708805372,2.078431874,-0.305051122,-0.120707596,0.975190357,1.261025235,1.759644349,2.151452663,0.263682013,0.3322318,0.896775418,1.126066977,0.591640624,-1.788646397,0.528768364,1.068378962,0.778846605,0.5372952,0.511120555,2.185886346,2.128626208,2.392595094,2.242538631,0.893258612,-3.538691825,-2.786473464,0.301535898,0.342408943,0.169887674,-0.205924558,-2.584045754,-2.585904926,-0.646833818,-0.283330958,-0.576910782,-0.433840557,-0.619352609,-0.212217256,-0.680254937,-2.046881973,-2.60299911,-2.145818357,-0.890590234,0.563346139,0.467680017,0.163652025,-0.05199684,-1.326340602,-0.538521818,-0.99
140,1,-0.427756488,-0.102531186,2.646739543,-2.533095454,-3.687164563,2.031447356,2.446535969,2.184749441,2.624259479,0.554598789,0.454463046,1.468115436,0.949927692,0.716609583,-0.394482994,0.757735953,0.945711412,0.451318532,0.624573368,-2.354490349,1.717183252,2.27294186,1.93455729,2.433981273,0.452974779,-4.29223005,-3.712840979,-2.037817565,-3.117436644,-3.267708725,-2.651565059,-0.736687265,-0.779335599,0.895177426,0.725497227,0.650167632,0.561953379,0.881803712,1.042073202,0.662049047,-2.42334002,-3.84608633,-3.258483674,1.154456405,1.995908266,2.813027149,1.686672024,-0.485773117,-2.198678279,1.570294818,-1.15
144,1,-2.599285623,0.095990892,1.941503306,3.365765086,3.178269768,0.065210294,0.76625681,-0.096070492,0.774810129,0.647101255,-2.179817759,-1.257782185,0.917217642,-1.66091051,-4.327758538,-0.386405432,-0.04048738,-0.029218145,-0.301549383,3.241920363,2.311434775,2.129693531,2.681073549,1.998165715,1.904589845,-2.028605786,-0.406231297,4.202690688,4.130381663,4.370893325,3.063145445,-1.537027941,-2.325635658,0.188233586,0.262504338,-3.586134504,-3.506011146,-3.565916469,-3.632290459,-4.186153575,-3.724504236,-4.930945661,-3.791833586,-3.173897483,2.37295783,1.224473667,2.602484651,3.353533399,1.663647126,-0.17947543,-0.86
153,1,1.658912707,0.094408637,0.790212277,-3.030006124,-4.276957428,1.378658652,1.481730051,1.755329257,1.459638161,-0.024219982,2.046172451,2.337224878,0.112914436,1.960458173,1.619689784,0.640995711,0.954504798,0.930328723,0.26541643,-3.142394364,0.103264227,0.273538665,0.02722619,0.56149695,-0.553944253,-1.714852923,-2.215857083,-2.916152699,-3.280304059,-3.958706433,-2.922379538,0.729051935,1.515093855,1.50921824,1.557159616,1.763789225,1.856052679,1.710666039,2.353105679,2.083474168,0.520582347,0.263584248,0.132774442,1.35928795,-1.178109607,-0.498977011,-1.858128638,-3.099501925,-2.988850356,-0.146619162,0.96
162,1,-3.134699896,-1.158347992,1.02361734,1.368357849,3.314482435,-0.723304977,-0.445523739,-0.684481511,-1.107481208,0.016935277,-1.8265092,-2.315193981,1.934648788,-2.200211351,-1.575557574,-1.033865733,-1.067280549,-0.928128947,-1.228078709,3.294798285,1.122623567,1.184763517,1.399855384,1.48303577,1.573633323,-2.842902718,-1.401040221,2.03484742,2.309928661,2.358393081,2.002068088,-4.268999053,-5.1748454,-1.932065358,-2.285158566,0.589906881,0.270867119,0.161316308,0.785456378,0.307138514,-1.358269144,-2.743809132,-2.277742204,0.645383502,2.84401837,1.689099097,3.164455601,3.264134695,2.789537702,0.780194212,-2.69
180,1,-0.885164338,3.549069138,3.189157704,-3.944627425,-4.027614978,1.796422591,1.983200472,2.716065189,3.801088665,0.649653119,0.439337062,1.838982661,0.034079017,1.586960258,-1.542462268,3.563671575,3.9305987,2.59904852,3.66704615,-1.978971783,3.304830573,3.855717988,4.597364038,4.441843488,1.465286174,-6.627359125,-5.375503063,-3.137019184,-4.335611425,-3.80871525,-4.116613788,-4.047698656,-4.216832779,-0.801763341,-0.869463944,-0.667177531,-0.34217251,0.2203229,-0.201851299,-0.414621656,-2.776533452,-4.06860826,-3.260839452,0.291663539,2.918406288,3.896016266,2.282236723,-0.001300399,-3.385155931,2.215613039,-1.96
182,1,-0.799905865,-0.601121808,1.179383659,-0.427603451,-0.360741526,0.213983978,0.686127627,0.375858059,0.330613757,0.189748729,0.032212806,0.28016715,0.784715232,0.041472119,-0.659331174,-0.300892522,-0.184426985,-0.154725584,-0.518844881,0.091725586,1.044069193,1.088824165,1.154282437,1.153156754,0.382913842,-2.24528347,-1.708440992,0.00545052,-0.096430274,-0.361890059,-0.101175808,-1.202717052,-1.182262112,0.070872234,0.142083795,0.209233079,0.187625654,0.030632753,0.558434062,0.22685289,-0.599193997,-1.464509531,-1.1272544,0.23184134,1.117169591,0.949259979,0.851140257,0.465141165,-0.186025042,0.207784117,0.09
190,1,-2.423152888,-1.539796893,-2.070516694,4.285940214,6.684009525,-1.125101419,-0.549718154,-1.230239785,-2.052110877,0.789789219,-2.545921103,-3.787844596,0.677212418,-2.955340231,-3.1196389,-2.342178371,-2.192831281,-0.604813836,-2.078486681,5.694214663,-1.23229484,-1.787861448,-1.312184217,-1.887447205,1.902881984,3.11532653,3.548549748,4.44025063,5.2548632,5.268188238,5.174215825,-2.965465838,-3.893962067,-2.199197791,-2.082086009,-2.957893957,-2.809048482,-3.520673987,-2.850646387,-3.032186232,0.779957498,0.965323681,0.797837917,-2.172379367,1.558315772,0.410440015,2.90684068,4.697025675,5.9336066,0.436229507,-10.01
192,1,-2.415745092,0.361869468,2.945028543,0.042908522,-0.391745428,-0.782040698,-0.605598064,-1.11943407,-0.266953608,-0.521167909,-1.045534879,0.161176676,0.895232575,-0.418775244,-1.194182062,0.765814108,0.287931332,-0.469308953,0.020522525,0.613760914,2.807218798,3.278008351,3.62042365,3.306846451,0.520843732,-5.104604675,-3.406844184,1.105543138,0.313961766,0.784667895,-0.23139515,-1.381805363,-1.967953786,0.480073044,0.098059537,0.01374134,-0.120604333,0.20066148,0.14627915,-0.105000907,-2.448402957,-4.805288775,-3.504578006,0.094720337,3.352108938,1.992180672,2.440660395,1.68869395,-0.640077257,0.608104114,-2.7
199,1,-1.206463739,0.258969374,0.615216962,0.497167621,1.600002617,0.346405087,0.099672272,0.493179528,0.124893655,0.339931909,-1.156746265,-1.679786357,0.892366794,-1.354104034,-1.444631483,0.114562873,0.577756989,1.241337962,0.222154365,1.799279467,0.704809813,0.280483758,0.539596226,0.392356637,1.146158384,-0.614762253,-0.557332946,0.762277142,1.327905103,0.80600583,1.001889451,-2.534638551,-2.453021748,-0.811163706,-0.67866696,-1.063394441,-1.178936826,-1.411987841,-0.807914533,-0.7888173,1.457086862,1.622883502,1.182214766,-0.942467321,0.101833036,-0.41149724,-0.117437833,0.13678936,0.401658211,0.126925821,-0.64
