"Preference Share","1 Item","2 Item"
0.208875556353833,"X12","X29"
0.208666984412335,"X13","X29"
0.201910615627908,"X13","X18"
0.200494903864836,"X20","X29"
0.199909713713625,"X5","X20"
0.19509867423171,"X12","X13"
0.192124716738657,"X5","X29"
0.191776096248617,"X9","X12"
0.18749036158985,"X9","X18"
0.184419267516713,"X12","X18"
0.181037985925607,"X1","X3"
0.181037985925607,"X2","X3"
0.181037985925607,"X3","X4"
0.181037985925607,"X3","X6"
0.181037985925607,"X3","X7"
0.181037985925607,"X3","X8"
0.181037985925607,"X3","X10"
0.181037985925607,"X3","X11"
0.181037985925607,"X3","X14"
0.181037985925607,"X3","X15"
0.181037985925607,"X3","X16"
0.181037985925607,"X3","X17"
0.181037985925607,"X3","X19"
0.181037985925607,"X3","X21"
0.181037985925607,"X3","X22"
0.181037985925607,"X3","X24"
0.181037985925607,"X3","X25"
0.181037985925607,"X3","X26"
0.181037985925607,"X3","X27"
0.181037985925607,"X3","X28"
0.181037985925607,"X3","X30"
0.181037985925607,"X3","X31"
0.181037985925607,"X3","X32"
0.181037985925607,"X3","X33"
0.181037985925607,"X3","X34"
0.181037985925607,"X3","X35"
0.181037985925607,"X3","X36"
0.181037985925607,"X3","X37"
0.181037985925607,"X3","X38"
0.181037985925607,"X3","X40"
0.16219796589754,"X1","X39"
0.16219796589754,"X2","X39"
0.16219796589754,"X4","X39"
0.16219796589754,"X6","X39"
0.16219796589754,"X7","X39"
0.16219796589754,"X8","X39"
0.16219796589754,"X10","X39"
0.16219796589754,"X11","X39"
0.16219796589754,"X14","X39"
0.16219796589754,"X15","X39"
0.16219796589754,"X16","X39"
0.16219796589754,"X17","X39"
0.16219796589754,"X19","X39"
0.16219796589754,"X21","X39"
0.16219796589754,"X22","X39"
0.16219796589754,"X24","X39"
0.16219796589754,"X25","X39"
0.16219796589754,"X26","X39"
0.16219796589754,"X27","X39"
0.16219796589754,"X28","X39"
0.16219796589754,"X30","X39"
0.16219796589754,"X31","X39"
0.16219796589754,"X32","X39"
0.16219796589754,"X33","X39"
0.16219796589754,"X34","X39"
0.16219796589754,"X35","X39"
0.16219796589754,"X36","X39"
0.16219796589754,"X37","X39"
0.16219796589754,"X38","X39"
0.16219796589754,"X39","X40"
0.133071342016996,"X1","X20"
0.133071342016996,"X2","X20"
0.133071342016996,"X4","X20"
0.133071342016996,"X6","X20"
0.133071342016996,"X7","X20"
0.133071342016996,"X8","X20"
0.133071342016996,"X10","X20"
0.133071342016996,"X11","X20"
0.133071342016996,"X14","X20"
0.133071342016996,"X15","X20"
0.133071342016996,"X16","X20"
0.133071342016996,"X17","X20"
0.133071342016996,"X19","X20"
0.133071342016996,"X20","X21"
0.133071342016996,"X20","X22"
0.133071342016996,"X20","X24"
0.133071342016996,"X20","X25"
0.133071342016996,"X20","X26"
0.133071342016996,"X20","X27"
0.133071342016996,"X20","X28"
0.133071342016996,"X20","X30"
0.133071342016996,"X20","X31"
0.133071342016996,"X20","X32"
0.133071342016996,"X20","X33"
0.133071342016996,"X20","X34"
0.133071342016996,"X20","X35"
0.133071342016996,"X20","X36"
0.133071342016996,"X20","X37"
0.133071342016996,"X20","X38"
0.133071342016996,"X20","X40"
0.125623514642593,"X1","X5"
0.125623514642593,"X2","X5"
0.125623514642593,"X4","X5"
0.125623514642593,"X5","X6"
0.125623514642593,"X5","X7"
0.125623514642593,"X5","X8"
0.125623514642593,"X5","X10"
0.125623514642593,"X5","X11"
0.125623514642593,"X5","X14"
0.125623514642593,"X5","X15"
0.125623514642593,"X5","X16"
0.125623514642593,"X5","X17"
0.125623514642593,"X5","X19"
0.125623514642593,"X5","X21"
0.125623514642593,"X5","X22"
0.125623514642593,"X5","X24"
0.125623514642593,"X5","X25"
0.125623514642593,"X5","X26"
0.125623514642593,"X5","X27"
0.125623514642593,"X5","X28"
0.125623514642593,"X5","X30"
0.125623514642593,"X5","X31"
0.125623514642593,"X5","X32"
0.125623514642593,"X5","X33"
0.125623514642593,"X5","X34"
0.125623514642593,"X5","X35"
0.125623514642593,"X5","X36"
0.125623514642593,"X5","X37"
0.125623514642593,"X5","X38"
0.125623514642593,"X5","X40"
0.125108368731529,"X1","X9"
0.125108368731529,"X2","X9"
