"Preference Share","1 Item","2 Item","3 Item"
0.287902796317356,"X1","X9","X23"
0.287902796317356,"X2","X9","X23"
0.287902796317356,"X4","X9","X23"
0.287902796317356,"X6","X9","X23"
0.287902796317356,"X7","X9","X23"
0.287902796317356,"X8","X9","X23"
0.287902796317356,"X9","X10","X23"
0.287902796317356,"X9","X11","X23"
0.287902796317356,"X9","X14","X23"
0.287902796317356,"X9","X15","X23"
0.287902796317356,"X9","X16","X23"
0.287902796317356,"X9","X17","X23"
0.287902796317356,"X9","X19","X23"
0.287902796317356,"X9","X21","X23"
0.287902796317356,"X9","X22","X23"
0.287902796317356,"X9","X23","X24"
0.287902796317356,"X9","X23","X25"
0.287902796317356,"X9","X23","X26"
0.287902796317356,"X9","X23","X27"
0.287902796317356,"X9","X23","X28"
0.287902796317356,"X9","X23","X30"
0.287902796317356,"X9","X23","X31"
0.287902796317356,"X9","X23","X32"
0.287902796317356,"X9","X23","X33"
0.287902796317356,"X9","X23","X34"
0.287902796317356,"X9","X23","X35"
0.287902796317356,"X9","X23","X36"
0.287902796317356,"X9","X23","X37"
0.287902796317356,"X9","X23","X38"
0.287902796317356,"X9","X23","X40"
0.287397009576053,"X1","X18","X23"
0.287397009576053,"X2","X18","X23"
0.287397009576053,"X4","X18","X23"
0.287397009576053,"X6","X18","X23"
0.287397009576053,"X7","X18","X23"
0.287397009576053,"X8","X18","X23"
0.287397009576053,"X10","X18","X23"
0.287397009576053,"X11","X18","X23"
0.287397009576053,"X14","X18","X23"
0.287397009576053,"X15","X18","X23"
0.287397009576053,"X16","X18","X23"
0.287397009576053,"X17","X18","X23"
0.287397009576053,"X18","X19","X23"
0.287397009576053,"X18","X21","X23"
0.287397009576053,"X18","X22","X23"
0.287397009576053,"X18","X23","X24"
0.287397009576053,"X18","X23","X25"
0.287397009576053,"X18","X23","X26"
0.287397009576053,"X18","X23","X27"
0.287397009576053,"X18","X23","X28"
0.287397009576053,"X18","X23","X30"
0.287397009576053,"X18","X23","X31"
0.287397009576053,"X18","X23","X32"
0.287397009576053,"X18","X23","X33"
0.287397009576053,"X18","X23","X34"
