id,weight,SKU1,SKU2,SKU3,SKU4,SKU5,SKU6,SKU7,SKU8,SKU9,SKU10,SKU11,SKU12,SKU13,SKU14,SKU15,SKU16,SKU17,SKU18,SKU19,SKU20,SKU21,SKU22,SKU23,SKU24,SKU25,SKU26,none
233,1.377378046,0.675639089,2.748575127,1.160079112,1.050761036,2.343896923,1.479021593,3.222702899,-3.66065502,-3.688086784,-5.108398579,-5.111797517,-4.423808724,-2.026556703,-2.996142237,0.794541036,2.116640022,-0.623589028,0.173891749,0.900621623,-1.049929011,-5.029314526,-0.528817971,-2.53576349,-0.82302216,-1.60842288,-3.202615813,-1.720273282
239,1.083601127,-1.589924114,0.820518175,1.391391999,-1.880124709,0.647196474,-2.607251256,-2.00507097,-3.903134836,-2.67719905,-3.600653555,-4.615853485,-3.549622071,-3.587962737,-3.054326239,-1.840066289,-0.059607229,-4.29596468,-1.315263256,0.429749674,-0.309824737,-1.282974278,2.175120311,-4.481332272,-3.745356397,-2.771818407,-4.246005928,-1.824970397
264,2.983057672,-0.257640582,-1.734911881,-3.501881001,-0.751351749,-1.928980478,0.514907474,-0.213420786,-3.496653485,-5.567557424,-7.195881298,-4.558558514,-6.014704459,-2.722278065,-4.053415484,-1.54340446,-2.667041663,-3.854776804,-2.725187919,-3.764782863,-1.725125101,-2.962656426,-0.386499253,0.237020954,0.850150853,-1.563624284,-0.019833102,-1.57618194
271,0.396477657,-0.210563894,2.583901553,3.410936904,0.325748228,2.815724077,-1.740145554,-0.117932966,-2.900497903,-1.053511908,-1.381773558,-3.132454579,-1.713555099,-2.470688528,-2.129145731,0.340944054,2.420384357,-2.068116219,-0.0854181,3.111818144,-0.603186663,-2.898287046,0.199867347,-4.747454174,-3.555742249,-2.637438906,-5.180503559,-0.969094623
293,0.298305767,-3.417851033,-3.288821802,-3.364589197,-4.266576966,-3.599245874,-2.867521169,-2.698669136,-0.601700645,-1.87448699,-2.759294076,-1.473113421,-2.127229923,-0.726521853,-1.945087134,-3.461088323,-3.287640382,-2.651745141,1.122302837,-3.933569171,-0.963701888,1.260597952,0.875427266,-4.006445295,-3.80778794,-3.563018551,-3.970651549,-3.110983613
305,0.298305767,-2.493521401,-2.465306873,-2.69988877,-3.437276415,-2.821393344,-3.413806601,-4.001746856,-0.795911814,-1.543363247,-2.674041259,-1.743358645,-2.239464303,-1.502937154,-2.188052257,-3.615853437,-3.357382541,-4.375706842,-0.539262335,-3.781713499,-0.467355377,1.73404796,1.435117575,-4.326201108,-4.349781711,-4.465646155,-4.462278302,-2.694510988
316,0.298305767,-3.32258653,-4.242156563,-4.508404399,-3.965189844,-4.222055484,-2.442020412,-1.868419805,0.974990113,-0.075638309,-0.38343387,0.97474307,-0.024913008,1.876755332,0.917426378,-3.218775073,-3.640838564,-0.633949419,0.503937489,-4.453988416,-4.217733822,0.220024336,-2.67117572,-1.355427496,-0.942626597,-1.662350729,-2.428932985,-1.948846421
322,0.355262785,0.961146115,2.423117129,1.730923452,1.194978644,2.341813191,-0.525513037,-0.14619747,-1.985248914,-1.97826261,-2.986533551,-2.92645341,-2.650192126,-2.764388927,-3.460528175,0.607930647,1.713153998,-2.059307716,0.048375122,1.424313913,1.755447776,-2.332911785,0.863959477,-4.65095226,-3.980772364,-4.241903594,-5.524264939,-1.750353625
326,0.298305767,-0.386997126,-0.477552737,-0.764510618,-0.495432872,-0.31348309,-2.625947117,-2.68298431,-0.71767232,-0.563847402,-1.220060304,-1.096181332,-1.070855897,-1.272893468,-1.492127726,-1.487376783,-1.233054131,-3.154151023,-1.477420968,-1.208744365,-1.466716605,-0.788671774,-0.977882864,-3.985014002,-3.837917958,-4.301777706,-4.764109802,-0.311395607
327,1.762782206,-1.808553825,-2.145496232,-3.674200025,-2.588880047,-2.802722724,-0.042410617,-0.287851214,-4.619818728,-6.942319749,-8.874641461,-6.493080942,-7.617388499,-3.74569481,-5.630346054,-2.567116026,-2.994974757,-4.691832378,-1.80097401,-4.168830987,-1.176311468,-2.889210132,1.128057976,-2.884842075,-1.965986491,-3.719229462,-2.978664995,-1.365587216
