id,weight,KV1,KV2,KV3,KV4,KV5,KV6,KV7,KV8,KV9,KV10,KV11,KV12,KV13,KV14,KV15,KV16,KV17,KV18,KV19,none
199,1,0.03956377,0.15739154,1.00364553,0.14918887,-1.05402476,-0.41322261,-0.77491679,-1.26188666,0.27472858,-0.34858698,0.5712553,-1.29761141,0.17462737,0.35836967,-0.23639645,1.4402864,0.78588516,-0.34704299,0.77874646,-10.36804986
204,1,0.57131169,-0.34871298,0.48643319,-0.94310375,-1.27211525,-0.91933906,-1.36022374,-0.79170297,1.43875899,-0.845615,-0.71138024,-0.87518047,0.64651213,0.42296699,0.10254046,1.42280169,1.39349236,0.72855218,0.85400378,-2.45247291
210,1,0.19043298,-0.72984575,-0.1307461,-0.7401292,-0.11876172,0.0956974,-1.03959421,-0.22087324,-0.19053534,0.5347761,-1.30257865,-1.37562509,0.44340187,0.7378882,-0.48332474,1.40593492,1.6062968,-0.04666456,1.36425033,-1.19064976
213,1,0.96787976,-0.35465884,-0.29003318,-0.41337753,-0.34612718,-0.55992359,-0.40089411,-0.6543952,1.04093395,0.54313519,-0.42042659,-1.13142199,-1.02300599,-0.88381032,-1.29984538,1.69668596,1.48896658,1.48262847,0.55768999,-0.93883555
214,1,0.7648031,-0.41942001,0.60308859,-1.71695451,-1.35750782,-0.74904381,-1.18363473,-1.26618376,1.11345982,1.10102874,-0.10110809,0.133542,-0.13870294,-0.00335193,0.10372503,0.08818214,1.4124608,0.67968646,0.93593092,-11.54518397
222,1,0.32784739,-0.15383295,0.42842676,-0.42005247,-1.42871489,-0.69068714,-0.91961293,-1.32265778,1.41263822,1.00307715,0.41183892,-1.21707598,-0.04590765,0.97744414,-0.77618524,0.52414731,0.41119481,0.61971458,0.85839775,-0.11209949
225,1,1.116886,0.16449086,0.25782524,-1.56677871,-1.02867208,-0.40627129,-1.26075686,0.43554189,1.54992409,-0.23066555,-1.07159634,-0.63168271,-0.0395,-1.05507334,0.84987943,0.9820595,-0.04086343,0.88089206,1.09431124,0.64516806
228,1,-0.06998062,0.36830677,1.04351741,-1.43087651,0.0085824,0.44104369,-1.29178979,0.45909639,0.95135941,0.06088944,0.58039913,-0.7446123,-0.55655195,-0.57381145,-0.36312093,1.08249733,0.1209078,-0.18944707,0.10359085,-14.20633696
237,1,0.77146941,0.22373131,0.19681072,-1.28178919,-1.40453964,-1.59801678,-1.37735327,-1.40428224,1.48642915,0.75157356,0.19878748,-0.40177807,0.26941775,-0.30589045,-0.62843272,0.39457994,1.15372231,1.50430479,1.45125594,-0.38812731
242,1,-0.53872287,-0.79288118,-0.44506107,-0.08441085,-0.85821236,-0.75242316,-0.0992731,0.09146504,1.12551454,0.15963261,-0.58977249,-0.2066078,0.76878685,-0.4535292,-1.17282474,0.51157043,0.69949626,1.38904811,1.24820498,-0.61961821
246,1,1.06706618,0.49138057,0.13051597,-0.39309799,-0.42012584,-0.0652115,-0.10439123,0.02746964,0.79578213,0.0850592,-0.66693808,-0.70995116,-0.5062049,-0.09207865,-0.51802528,0.40089568,1.00218029,-0.5197325,-0.00459253,-0.34560989
250,1,0.64482095,-0.49538551,0.32018498,-1.6894001,0.00289118,-0.90150178,-1.24042001,-0.1815797,1.88032381,0.64192223,-0.92267688,-1.23607221,-0.51818145,-0.78402396,-0.2265978,1.47541045,1.4900156,1.26691004,0.47336016,0.37604572
254,1,-0.12778102,0.68193702,-0.42235419,-2.13335393,-0.59228282,-0.89634338,-0.88602182,-1.09897333,1.20699232,-0.13861086,0.31133961,0.26068731,0.32126463,0.32276648,-0.76152935,1.24115091,1.31357772,1.13180201,0.26573269,-3.26237806
259,1,1.00894932,0.45439874,0.00510464,-1.75573355,-0.45341022,0.69320495,0.05339301,0.41408336,1.48776412,-0.43808514,-1.07093527,-0.19370159,-0.37676486,-1.14331612,0.49551211,-0.31105979,0.43066426,0.89957778,-0.19964575,-0.60395477
262,1,0.41098944,0.19817058,1.0025704,-2.09759893,-0.38642181,-0.0002725,-0.56514594,-0.10080202,1.00748421,-1.0431086,-0.87346122,-0.51697217,0.2382281,-0.48712369,-0.70689269,0.84476987,1.66754973,1.30249839,0.10553885,-2.43921614
273,1,0.18870105,0.66892275,0.36246201,-1.47141207,-0.05319482,0.38281114,-0.90502365,-0.20337266,-0.47965431,0.99265712,-1.18362658,-0.66087635,0.023328,-0.33311595,-0.5842453,0.88172082,1.56292088,-0.62594742,1.43694534,-0.62936576
282,1,0.74966953,0.67348558,-0.31054032,-2.26792342,-0.46417885,-0.30362712,-0.75817464,-1.03022319,-0.16127073,0.35995571,-0.71660538,-0.813715,0.63593988,-0.35598386,-0.4356659,1.15261406,1.70323536,1.42042598,0.92258231,-3.29313745
284,1,0.42951744,0.0138101,0.31869353,-2.15248679,-1.23540307,-0.73497413,-1.22616505,-1.06396956,1.23671824,-0.23627923,-0.12914158,0.06147002,0.57571757,-0.75446143,0.23051306,1.61998966,1.23667068,0.69679263,1.11298791,-3.31556893
286,1,0.1491498,-0.38144029,-0.16420383,-1.77438689,0.87949992,0.32769148,-0.12909201,0.5317724,-0.19462165,-0.67281979,-0.75923878,-0.18808014,0.10742744,-0.57425331,-0.27175506,0.99005449,0.25344653,1.46661106,0.40423863,1.13654135
287,1,0.63597942,0.81667859,0.17146388,-1.53640654,-1.14001136,-0.98491591,-0.94720194,-1.61142822,0.98374899,0.05634496,-1.13371689,-1.28597805,0.27981476,0.14189154,0.21218254,1.5135586,1.51840629,0.99702408,1.31256526,-1.27320787
290,1,-0.62199534,-0.90411096,-0.50456167,-1.67262976,-1.44755446,-0.50455826,-0.90806485,0.0649487,0.54081546,-0.03392119,0.33264895,0.12850597,-0.60280387,1.02738795,0.53513529,0.8209455,0.9382848,1.1096984,1.70182934,0.63867692
294,1,0.47445114,-0.1688216,0.75492481,-1.53437067,-0.51962164,-0.97076611,-0.7190778,-0.2780444,1.53609441,0.00124625,-0.70727253,-1.36258803,-0.20931023,-0.49503875,-0.31652154,1.46095644,1.40074025,0.69160614,0.96141386,-1.54318566
297,1,0.09923471,0.88577638,0.52328445,-1.76067399,0.278105,0.38344436,0.31992454,-0.05661288,-0.14324961,-0.14167436,-1.19426591,-0.55630188,0.19796071,-1.04427831,0.2602322,1.38240599,0.98493225,0.15329397,-0.57153762,-1.14499021
310,1,0.64900706,-0.48041032,0.69685217,-1.66347758,-1.51294245,-1.33186925,-1.26153103,-1.50582086,1.32789303,0.76122733,0.68060022,0.02316616,0.48866035,0.15049972,0.7946016,0.07835617,-0.25625932,1.4081998,0.9532472,-0.36068015
311,1,0.8098219,-0.17956136,0.5041772,-0.10177531,-0.60384995,-0.89447299,-1.20004765,-0.86420453,1.403744,0.31474153,-0.37732413,-1.20248855,-0.8023904,-0.05163098,-0.32663294,1.40818083,0.97029813,-0.05233857,1.24575377,-14.55624281
314,1,0.02329454,0.2681429,1.32884925,-1.8959109,0.53255774,0.35953227,0.64992104,0.14135315,0.44803891,-0.4845333,-0.02783927,-1.27786224,-0.68705898,-1.06408902,0.01558587,0.91973783,0.50462379,0.04087769,0.20477873,-1.4740784
317,1,0.40697448,-0.25552634,1.07827023,-0.95615198,0.0179598,-0.35097111,-0.53260107,-1.60728395,1.25246103,0.46383788,-0.16963452,0.31184334,-0.23509208,0.80014533,0.70634453,-0.45908994,-0.37031941,0.29907946,-0.40024568,-1.1316993
318,1,0.48920655,0.92781281,1.26018845,-1.21223224,-1.5885508,-1.27141509,-1.2929428,-1.35698402,1.41202141,0.46008136,-0.14967175,-0.47710657,0.5867114,0.08577712,-0.39451356,1.06160235,0.04365367,0.97544527,0.44091644,0.66538418
326,1,0.34903849,0.21839815,-0.00380088,-1.90032263,-1.27844231,-0.96222837,-1.50651741,-0.97415701,0.40815726,0.16636372,0.44221592,0.58644808,0.84278081,0.82408697,0.2471495,-0.1138146,0.49910195,0.80160974,1.35393262,-0.08703942
328,1,0.20940002,0.83973765,0.84861306,-1.91707424,-0.22758411,-0.72312873,-0.63029191,0.56298094,1.56767806,-0.14538991,0.0359066,-0.06613057,0.17824559,-0.56014929,-0.74944363,0.34101918,0.44067888,-1.01821598,1.01314839,-1.48919815
331,1,-0.09565979,-0.34465127,0.70828824,-1.7016766,-1.11738078,-1.0627377,-0.99298567,-1.36203639,1.53028989,0.42908258,0.56448696,-0.4862075,0.19875079,0.71757028,-0.1778189,0.5295109,1.1661253,-0.10956439,1.60661405,0.92438082
334,1,0.18468757,-0.18201445,-0.66562573,-2.08866636,-0.47448761,-0.1911708,-0.28042326,-1.10117946,0.85215439,0.49237759,0.48706737,-0.92483646,0.04104816,-0.21418224,-0.14703899,1.3345647,1.2514511,0.19768471,1.42858977,0.89828328
335,1,-0.26145469,-0.66144805,1.07854402,-0.01983472,-1.12901471,-0.49589819,-1.13092149,-0.62337404,1.10220086,0.32807474,-0.61476423,-1.16957723,-0.65009323,0.44799163,0.15140076,0.61213948,1.46341995,0.65763175,0.91497739,-2.3771704
337,1,1.21564086,0.17061966,0.10196173,-0.88732392,0.36137939,0.37537912,0.39091714,0.47544589,-0.45751966,-0.21485871,-0.26291219,-1.24329739,-0.28360431,0.33992714,-1.18076582,-0.55255502,0.34333736,1.03284159,0.27538714,-1.12238612
347,1,0.72406777,0.62567189,0.90193146,-2.01932861,-1.01971056,0.61539888,-0.69877964,-0.15916843,1.04474519,-0.80495725,-0.74753685,-1.18869382,-1.2037805,0.50794439,0.48677979,0.00176352,1.38205196,0.92464812,0.62695269,-0.10039587
348,1,0.6991302,-0.25385589,0.56180486,-1.67427517,0.48785956,0.41535324,0.01959484,0.42624374,-0.10462109,-0.08309345,-0.83144663,-0.62308267,-0.30320757,-0.33976552,-0.54014257,1.40148476,0.31122785,0.23770471,0.1930868,-16.24514348
350,1,0.06475205,-0.14949871,0.12551992,-1.73219558,0.12271738,-0.29292421,-0.80037574,0.20148073,1.45327375,-0.12441334,-1.12878602,0.61420972,-0.46417805,-1.03048012,-0.53805124,0.94038049,1.45668136,1.27748974,0.00439787,-0.62775123
352,1,0.77315735,0.60363442,0.65652537,-2.00000826,0.47929799,-0.17875891,-0.28958267,-0.03116279,1.39324415,-0.75624759,-1.23838065,0.01698958,-0.4259696,-1.17459669,-0.77147517,0.67606414,0.46733217,1.35387131,0.44606585,-1.18795231
353,1,0.02780022,0.13319811,0.71023765,-1.72588368,-1.34561783,-0.78495053,-1.16151779,-1.28372488,0.06896338,0.02487393,-0.81459035,0.31940158,0.71732988,0.62354466,1.14939339,1.11371388,1.2522985,0.1960206,0.77950928,1.92454126
359,1,0.24078459,0.30590635,0.25055572,-1.21836271,-0.65481016,0.03986758,0.55204956,-0.708644,0.91041704,0.3570343,-0.22354125,-0.73972263,0.07787734,0.33824382,-0.78859305,0.3131292,1.01503325,-0.1568878,0.08966285,-0.82952961
362,1,1.34240561,-0.10573932,0.86094677,-0.93739958,-1.02242453,-1.3030747,-1.04437081,-1.0289941,-0.36184213,0.99887173,-0.89757148,-0.47766649,-0.20223002,0.78821868,0.41204492,0.44233941,0.56827949,0.94951533,1.01869122,0.12611735
363,1,0.39571493,0.20154384,-0.15209035,-1.86488811,-0.24151178,0.69677336,-1.12714492,0.54849756,-0.28894602,0.65257373,-0.06551709,0.48792253,0.58802763,-0.08056524,0.13153416,0.45149551,-0.32707409,0.41689416,-0.42323981,-1.80670325
365,1,0.87087965,0.21420128,-0.16883322,-0.91124365,-0.74438726,-0.52671724,-0.09382918,-1.11240348,1.63457964,-1.02143084,0.3974147,-1.35351896,-0.46531185,0.33612184,0.44791912,0.48248666,1.48271239,-0.71988873,1.25124913,-0.64458271
366,1,0.49499265,0.65317417,0.31096297,-2.00548528,-0.51470839,0.26851038,-0.78768443,0.38683072,1.38619835,0.27717276,-1.18305412,-1.21536736,-0.57582842,-0.77223911,-0.17770487,1.41320971,1.15024673,0.38433789,0.50643565,-0.89801568
368,1,0.13549472,0.24228228,-0.6369798,-1.75513544,-0.8719309,-0.89373154,-1.3713814,-0.04097756,0.20693103,0.58559796,-0.02321518,-1.33331201,0.53446155,0.6856101,-1.07524689,1.47689851,1.7057187,1.18838958,1.24052629,-0.38955622
370,1,0.26355458,0.01275488,-0.45521791,0.15211822,-0.38373134,-0.18195486,-0.23363565,-0.32274791,1.01106468,0.31940857,-1.17678963,-0.60145764,-1.13016388,0.81993885,-0.65390096,0.98185851,1.44872562,-0.11228321,0.24245908,-1.45151348
372,1,0.29259153,0.42558576,0.95366001,-1.70943405,-0.24869136,0.26033146,-0.115886,0.1761841,0.37550167,-0.69724875,-1.34434452,0.17353449,-0.99006774,-0.38038542,0.65465102,-0.10695791,0.31489868,1.35781781,0.60825922,-1.14371031
373,1,1.00993852,0.59501911,0.71543099,-1.00097207,-0.65276358,-0.17552004,-0.16641358,0.23067778,-0.0921833,0.02176517,-1.39738044,-0.69863117,-0.17084534,-0.47208435,-0.76540731,0.8007866,0.91653551,0.8135287,0.4885188,-1.83348237
374,1,0.43207883,0.35107772,0.65332824,-1.83838433,-0.41493428,-0.18431384,-0.92140479,0.27003925,0.54855747,0.97918624,-1.20495192,-1.51226575,-0.60588205,-0.26734458,-0.41910217,0.58093917,1.53535756,1.19417546,0.82384377,-1.20361702
376,1,1.04411442,0.23135025,0.3098907,-2.00433349,-0.47359882,-1.09548662,-1.32694894,-0.99282324,1.07431125,-0.32014369,0.44798276,0.55938646,0.69660659,0.90695523,0.21273987,0.1932676,0.2765457,-0.19577266,0.45595663,-2.42467216
377,1,-0.04795783,-0.63036857,-0.55283344,-0.78849224,0.09830487,-0.59437834,0.07091019,-0.68878887,1.65595549,-0.02286314,-0.92016777,-0.50168731,-0.40412777,0.67185101,-0.26298855,0.70310025,1.04139067,0.89079894,0.28234241,-2.30713796
378,1,0.57302304,-0.34469312,0.10587689,-2.02827879,-0.56712213,-0.09707818,0.4128062,0.42223967,-0.28166769,-0.40872893,-1.60126878,-0.91773285,-0.245694,-0.12878405,0.02145017,1.18285472,1.51392985,1.28916142,1.09970656,-1.5319058
381,1,1.15936388,0.78025563,1.13272966,-1.66577574,-1.36322488,-1.26641882,-1.44980219,-1.05290009,1.12229287,0.26838199,0.36523239,0.28711147,-0.04174509,-0.10461012,0.59409965,0.30282284,0.68704098,0.73799195,-0.49284638,-0.62114107
385,1,0.27616631,-0.20461209,0.96913338,-1.2823007,-0.87149393,-0.30367018,-0.83621891,-0.81162557,0.90665856,-0.39715495,-0.90975821,-1.04860529,0.24571323,-0.86618962,-0.16439699,1.25294759,1.50086518,1.29560062,1.24894157,-15.79497379
389,1,0.02418974,-0.75893477,-0.09353279,-1.57408743,-0.7272512,-0.20483509,-0.19935464,0.09036374,0.377162,-0.94534963,0.24333839,0.2477963,0.14314306,-0.73344492,-0.30781612,1.46761584,1.5573149,0.81138257,0.58230005,-3.13410829
395,1,0.74299548,-0.74729987,0.65123961,-1.2816809,-0.66734072,-0.84436805,-1.07461261,-1.27571217,1.51195443,0.22063499,-1.48618183,-0.56646603,-0.56135376,0.02845122,0.71258369,0.99602724,1.12008849,1.12694311,1.39409768,-0.39663762
402,1,0.46660632,-0.96260448,0.96301546,-1.66891152,0.44032194,-0.6733633,-0.44266751,-0.40434986,0.51683808,-0.8090529,0.44452103,-0.22717551,-0.47640137,0.7212843,-0.03949924,0.11217375,0.72463733,1.3953427,-0.08071522,-0.35131991
407,1,0.48447975,0.52319419,0.17845102,-0.64664866,-1.26968351,-0.37849267,-1.40523951,-0.98260789,0.68555302,0.86262996,-1.05987506,-1.43858574,0.59795722,0.7214846,-0.7031581,1.43015838,1.58827587,1.05736766,-0.24526053,-0.93212042
409,1,-0.61573158,-0.67315147,-0.76598499,-1.69476988,-0.24440768,-0.32639368,-0.33313489,0.33867213,0.09868451,-0.91786374,0.22027076,0.14208378,-0.04975064,0.43469148,0.48870042,1.01524495,1.61481098,0.99501877,0.27301077,-3.13752948
413,1,1.00205503,0.50419553,0.34032311,-1.19560336,-0.99383137,-0.86643777,-0.78345136,-1.48981516,1.27676811,0.76469396,-1.18504293,-1.23454239,-1.02496873,-0.00457463,0.74472937,1.42417275,0.38774234,0.85558761,1.47799989,-0.3946031
416,1,0.87736649,-0.03597455,1.01522369,-1.92967306,-1.0535014,-0.79900975,-0.74344922,-0.56712007,-0.35489209,0.19444622,0.40968741,-1.39234329,0.07062919,0.21665116,-0.49328268,0.45001779,1.42865319,1.34751878,1.35905219,-1.21661954
